Symbol,NCBI GeneID,Description,Ensembl GeneIDs
CSF2,1437,colony stimulating factor 2,ENSG00000164400
SRD5A2,6716,steroid 5 alpha-reductase 2,ENSG00000277893
DISC1,27185,DISC1 scaffold protein,ENSG00000162946
DEFB4A,1673,defensin beta 4A,ENSG00000171711
GATA2,2624,GATA binding protein 2,ENSG00000179348
UBE3A,7337,ubiquitin protein ligase E3A,ENSG00000114062
COL3A1,1281,collagen type III alpha 1 chain,ENSG00000168542
FURIN,5045,"furin, paired basic amino acid cleaving enzyme",ENSG00000140564
CD47,961,CD47 molecule,ENSG00000196776
NDRG1,10397,N-myc downstream regulated 1,ENSG00000104419
MTRR,4552,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,ENSG00000124275
GPC3,2719,glypican 3,ENSG00000147257
ZEB2,9839,zinc finger E-box binding homeobox 2,ENSG00000169554
HNRNPK,3190,heterogeneous nuclear ribonucleoprotein K,ENSG00000165119
ATRX,546,ATRX chromatin remodeler,ENSG00000085224
GATA1,2623,GATA binding protein 1,ENSG00000102145
RPA1,6117,replication protein A1,ENSG00000132383
GATA4,2626,GATA binding protein 4,ENSG00000136574
SERPINB5,5268,serpin family B member 5,ENSG00000206075
AIFM1,9131,apoptosis inducing factor mitochondria associated 1,ENSG00000156709
HSD11B1,3290,hydroxysteroid 11-beta dehydrogenase 1,ENSG00000117594
PIEZO1,9780,piezo type mechanosensitive ion channel component 1 (Er blood group),ENSG00000103335
TRIM28,10155,tripartite motif containing 28,ENSG00000130726
ANGPT1,284,angiopoietin 1,ENSG00000154188
KPNA2,3838,karyopherin subunit alpha 2,ENSG00000182481
DPYD,1806,dihydropyrimidine dehydrogenase,ENSG00000188641
LYN,4067,"LYN proto-oncogene, Src family tyrosine kinase",ENSG00000254087
SFTPD,6441,surfactant protein D,ENSG00000133661
PRMT1,3276,protein arginine methyltransferase 1,ENSG00000126457
GNAQ,2776,G protein subunit alpha q,ENSG00000156052
NEFL,4747,neurofilament light chain,ENSG00000277586
PPP2CA,5515,protein phosphatase 2 catalytic subunit alpha,ENSG00000113575
APOH,350,apolipoprotein H,ENSG00000091583
INHBA,3624,inhibin subunit beta A,ENSG00000122641
LHCGR,3973,luteinizing hormone/choriogonadotropin receptor,ENSG00000138039
PTTG1,9232,"PTTG1 regulator of sister chromatid separation, securin",ENSG00000164611
NR1H4,9971,nuclear receptor subfamily 1 group H member 4,ENSG00000012504
RAN,5901,"RAN, member RAS oncogene family",ENSG00000132341
SPINK1,6690,serine peptidase inhibitor Kazal type 1,ENSG00000164266
ID1,3397,inhibitor of DNA binding 1,ENSG00000125968
GJB1,2705,gap junction protein beta 1,ENSG00000169562
WFDC2,10406,WAP four-disulfide core domain 2,ENSG00000101443
ATF4,468,activating transcription factor 4,ENSG00000128272
AICDA,57379,activation induced cytidine deaminase,ENSG00000111732
CRHR1,1394,corticotropin releasing hormone receptor 1,ENSG00000120088
ERN1,2081,endoplasmic reticulum to nucleus signaling 1,ENSG00000178607
ENPP1,5167,ectonucleotide pyrophosphatase/phosphodiesterase 1,ENSG00000197594
MRE11,4361,MRE11 double strand break repair nuclease,ENSG00000020922
ITLN1,55600,intelectin 1,ENSG00000179914
CNR2,1269,cannabinoid receptor 2,ENSG00000188822
DDX3X,1654,DEAD-box helicase 3 X-linked,ENSG00000215301
ADA,100,adenosine deaminase,ENSG00000196839
CR1,1378,complement C3b/C4b receptor 1 (Knops blood group),ENSG00000203710
IRF5,3663,interferon regulatory factor 5,ENSG00000128604
BMP7,655,bone morphogenetic protein 7,ENSG00000101144
RHO,6010,rhodopsin,ENSG00000163914
LIPC,3990,"lipase C, hepatic type",ENSG00000166035
ACTN3,89,actinin alpha 3,ENSG00000248746
PDCD4,27250,programmed cell death 4,ENSG00000150593
CTTN,2017,cortactin,ENSG00000085733
REN,5972,renin,ENSG00000143839
STAT4,6775,signal transducer and activator of transcription 4,ENSG00000138378
PIM1,5292,"Pim-1 proto-oncogene, serine/threonine kinase",ENSG00000137193
DRD1,1812,dopamine receptor D1,ENSG00000184845
ATP2A2,488,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,ENSG00000174437
NR1H3,10062,nuclear receptor subfamily 1 group H member 3,ENSG00000025434
HTR2C,3358,5-hydroxytryptamine receptor 2C,ENSG00000147246
CYLD,1540,CYLD lysine 63 deubiquitinase,ENSG00000083799
MAP1LC3A,84557,microtubule associated protein 1 light chain 3 alpha,ENSG00000101460
NR5A1,2516,nuclear receptor subfamily 5 group A member 1,ENSG00000136931
TCF4,6925,transcription factor 4,ENSG00000196628
H3C1,8350,H3 clustered histone 1,ENSG00000275714
ENO1,2023,enolase 1,ENSG00000074800
CXCL1,2919,C-X-C motif chemokine ligand 1,ENSG00000163739
MTA1,9112,metastasis associated 1,ENSG00000182979
ACTA1,58,"actin alpha 1, skeletal muscle",ENSG00000143632
FSCN1,6624,fascin actin-bundling protein 1,ENSG00000075618
SRSF1,6426,serine and arginine rich splicing factor 1,ENSG00000136450
ATF3,467,activating transcription factor 3,ENSG00000162772
NEDD4,4734,NEDD4 E3 ubiquitin protein ligase,ENSG00000069869
TBP,6908,TATA-box binding protein,ENSG00000112592
RARRES2,5919,retinoic acid receptor responder 2,ENSG00000106538
IL1RL1,9173,interleukin 1 receptor like 1,ENSG00000115602
ETV6,2120,ETS variant transcription factor 6,ENSG00000139083
SLC19A1,6573,solute carrier family 19 member 1,ENSG00000173638
KAT2B,8850,lysine acetyltransferase 2B,ENSG00000114166
THRB,7068,thyroid hormone receptor beta,ENSG00000151090
IL32,9235,interleukin 32,ENSG00000008517
CFL1,1072,cofilin 1,ENSG00000172757
PTHLH,5744,parathyroid hormone like hormone,ENSG00000087494
TNFRSF8,943,TNF receptor superfamily member 8,ENSG00000120949
PEBP1,5037,phosphatidylethanolamine binding protein 1,ENSG00000089220
IQGAP1,8826,IQ motif containing GTPase activating protein 1,ENSG00000140575
PRKCE,5581,protein kinase C epsilon,ENSG00000171132
F11,2160,coagulation factor XI,ENSG00000088926
ARRB2,409,arrestin beta 2,ENSG00000141480
NR4A1,3164,nuclear receptor subfamily 4 group A member 1,ENSG00000123358
CPB2,1361,carboxypeptidase B2,ENSG00000080618
A2M,2,alpha-2-macroglobulin,ENSG00000175899
BLM,641,BLM RecQ like helicase,ENSG00000197299
CLDN1,9076,claudin 1,ENSG00000163347
CA2,760,carbonic anhydrase 2,ENSG00000104267
UBE2D2,7322,ubiquitin conjugating enzyme E2 D2,ENSG00000131508
SERPING1,710,serpin family G member 1,ENSG00000149131
AKT2,208,AKT serine/threonine kinase 2,ENSG00000105221
TEK,7010,TEK receptor tyrosine kinase,ENSG00000120156
PXN,5829,paxillin,ENSG00000089159
PRKCZ,5590,protein kinase C zeta,ENSG00000067606
PMP22,5376,peripheral myelin protein 22,ENSG00000109099
PROS1,5627,protein S,ENSG00000184500
CD276,80381,CD276 molecule,ENSG00000103855
SGK1,6446,serum/glucocorticoid regulated kinase 1,ENSG00000118515
TXNIP,10628,thioredoxin interacting protein,ENSG00000265972
AIRE,326,autoimmune regulator,ENSG00000160224
POLB,5423,DNA polymerase beta,ENSG00000070501
PALB2,79728,partner and localizer of BRCA2,ENSG00000083093
ITGB4,3691,integrin subunit beta 4,ENSG00000132470
TRPA1,8989,transient receptor potential cation channel subfamily A member 1,ENSG00000104321
TFPI,7035,tissue factor pathway inhibitor,ENSG00000003436
ANXA5,308,annexin A5,ENSG00000164111
CSF1,1435,colony stimulating factor 1,ENSG00000184371
CD81,975,CD81 molecule,ENSG00000110651
SDHB,6390,succinate dehydrogenase complex iron sulfur subunit B,ENSG00000117118
HAVCR1,26762,hepatitis A virus cellular receptor 1,ENSG00000113249
UBE2D3,7323,ubiquitin conjugating enzyme E2 D3,ENSG00000109332
RELN,5649,reelin,ENSG00000189056
BAK1,578,BCL2 antagonist/killer 1,ENSG00000030110
CSF1R,1436,colony stimulating factor 1 receptor,ENSG00000182578
NOTCH2,4853,notch receptor 2,ENSG00000134250
LEF1,51176,lymphoid enhancer binding factor 1,ENSG00000138795
TJP1,7082,tight junction protein 1,ENSG00000104067
DDB1,1642,damage specific DNA binding protein 1,ENSG00000167986
PTBP1,5725,polypyrimidine tract binding protein 1,ENSG00000011304
COL7A1,1294,collagen type VII alpha 1 chain,ENSG00000114270
FOXL2,668,forkhead box L2,ENSG00000183770
ITGA6,3655,integrin subunit alpha 6,ENSG00000091409
CYP24A1,1591,cytochrome P450 family 24 subfamily A member 1,ENSG00000019186
LGALS9,3965,galectin 9,ENSG00000168961
CD55,1604,CD55 molecule (Cromer blood group),ENSG00000196352
DAPK1,1612,death associated protein kinase 1,ENSG00000196730
SLC9A1,6548,solute carrier family 9 member A1,ENSG00000090020
SPAST,6683,spastin,ENSG00000021574
ACKR3,57007,atypical chemokine receptor 3,ENSG00000144476
VDAC1,7416,voltage dependent anion channel 1,ENSG00000213585
MDM4,4194,MDM4 regulator of p53,ENSG00000198625
HSP90B1,7184,heat shock protein 90 beta family member 1,ENSG00000166598
PTK2B,2185,protein tyrosine kinase 2 beta,ENSG00000120899
MPL,4352,"MPL proto-oncogene, thrombopoietin receptor",ENSG00000117400
TH,7054,tyrosine hydroxylase,ENSG00000180176
IL6ST,3572,interleukin 6 cytokine family signal transducer,ENSG00000134352
EPOR,2057,erythropoietin receptor,ENSG00000187266
LOX,4015,lysyl oxidase,ENSG00000113083
YWHAE,7531,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,ENSG00000108953
FADD,8772,Fas associated via death domain,ENSG00000168040
KITLG,4254,KIT ligand,ENSG00000049130
CTNND1,1500,catenin delta 1,ENSG00000198561
PLA2G2A,5320,phospholipase A2 group IIA,ENSG00000188257
SIRT2,22933,sirtuin 2,ENSG00000068903
PTGS1,5742,prostaglandin-endoperoxide synthase 1,ENSG00000095303
ERCC5,2073,"ERCC excision repair 5, endonuclease",ENSG00000134899
PAX8,7849,paired box 8,ENSG00000125618
ANO1,55107,anoctamin 1,ENSG00000131620
DDIT3,1649,DNA damage inducible transcript 3,ENSG00000175197
STAT5B,6777,signal transducer and activator of transcription 5B,ENSG00000173757
C5,727,complement C5,ENSG00000106804
TRPM7,54822,transient receptor potential cation channel subfamily M member 7,ENSG00000092439
HK2,3099,hexokinase 2,ENSG00000159399
PHB1,5245,prohibitin 1,ENSG00000167085
CCL20,6364,C-C motif chemokine ligand 20,ENSG00000115009
CCNA2,890,cyclin A2,ENSG00000145386
TNFRSF11A,8792,TNF receptor superfamily member 11a,ENSG00000141655
MMP8,4317,matrix metallopeptidase 8,ENSG00000118113
CDC20,991,cell division cycle 20,ENSG00000117399
SKP1,6500,S-phase kinase associated protein 1,ENSG00000113558
CXCL13,10563,C-X-C motif chemokine ligand 13,ENSG00000156234
ANG,283,angiogenin,ENSG00000214274
CD59,966,CD59 molecule (CD59 blood group),ENSG00000085063
SCN9A,6335,sodium voltage-gated channel alpha subunit 9,ENSG00000169432
MCAM,4162,melanoma cell adhesion molecule,ENSG00000076706
CD46,4179,CD46 molecule,ENSG00000117335
BAG3,9531,BAG cochaperone 3,ENSG00000151929
PF4,5196,platelet factor 4,ENSG00000163737
P2RY12,64805,purinergic receptor P2Y12,ENSG00000169313
YWHAQ,10971,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,ENSG00000134308
TSPO,706,translocator protein,ENSG00000100300
PRDX1,5052,peroxiredoxin 1,ENSG00000117450
EEF1A1,1915,eukaryotic translation elongation factor 1 alpha 1,ENSG00000156508
HDAC4,9759,histone deacetylase 4,ENSG00000068024
TFAM,7019,"transcription factor A, mitochondrial",ENSG00000108064
IL17F,112744,interleukin 17F,ENSG00000112116
FXN,2395,frataxin,ENSG00000165060
TSC1,7248,TSC complex subunit 1,ENSG00000165699
UHRF1,29128,ubiquitin like with PHD and ring finger domains 1,ENSG00000276043
ADAM12,8038,ADAM metallopeptidase domain 12,ENSG00000148848
HSPA9,3313,heat shock protein family A (Hsp70) member 9,ENSG00000113013
TRIM21,6737,tripartite motif containing 21,ENSG00000132109
RHD,6007,Rh blood group D antigen,ENSG00000187010
GDNF,2668,glial cell derived neurotrophic factor,ENSG00000168621
TG,7038,thyroglobulin,ENSG00000042832
DAXX,1616,death domain associated protein,ENSG00000204209
GCH1,2643,GTP cyclohydrolase 1,ENSG00000131979
KPNB1,3837,karyopherin subunit beta 1,ENSG00000108424
MALT1,10892,MALT1 paracaspase,ENSG00000172175
IRAK1,3654,interleukin 1 receptor associated kinase 1,ENSG00000184216
MAVS,57506,mitochondrial antiviral signaling protein,ENSG00000088888
DEFB1,1672,defensin beta 1,ENSG00000164825
THY1,7070,Thy-1 cell surface antigen,ENSG00000154096
CUL3,8452,cullin 3,ENSG00000036257
HNRNPA2B1,3181,heterogeneous nuclear ribonucleoprotein A2/B1,ENSG00000122566
DCN,1634,decorin,ENSG00000011465
RARB,5915,retinoic acid receptor beta,ENSG00000077092
CDH5,1003,cadherin 5,ENSG00000179776
FGFR4,2264,fibroblast growth factor receptor 4,ENSG00000160867
FABP2,2169,fatty acid binding protein 2,ENSG00000145384
PRKAR1A,5573,protein kinase cAMP-dependent type I regulatory subunit alpha,ENSG00000108946
KLF5,688,KLF transcription factor 5,ENSG00000102554
SLC6A2,6530,solute carrier family 6 member 2,ENSG00000103546
ACHE,43,acetylcholinesterase (Yt blood group),ENSG00000087085
ITGA4,3676,integrin subunit alpha 4,ENSG00000115232
MUC5B,727897,"mucin 5B, oligomeric mucus/gel-forming",ENSG00000117983
MSTN,2660,myostatin,ENSG00000138379
WAS,7454,WASP actin nucleation promoting factor,ENSG00000015285
EDNRB,1910,endothelin receptor type B,ENSG00000136160
F12,2161,coagulation factor XII,ENSG00000131187
SLC7A5,8140,solute carrier family 7 member 5,ENSG00000103257
TUG1,55000,taurine up-regulated 1,ENSG00000253352
FANCD2,2177,FA complementation group D2,ENSG00000144554
ISG15,9636,ISG15 ubiquitin like modifier,ENSG00000187608
SOX10,6663,SRY-box transcription factor 10,ENSG00000100146
UMOD,7369,uromodulin,ENSG00000169344
WFS1,7466,wolframin ER transmembrane glycoprotein,ENSG00000109501
CDKN1C,1028,cyclin dependent kinase inhibitor 1C,ENSG00000129757
IGF2BP2,10644,insulin like growth factor 2 mRNA binding protein 2,ENSG00000073792
OXT,5020,oxytocin/neurophysin I prepropeptide,ENSG00000101405
BEST1,7439,bestrophin 1,ENSG00000167995
NEDD4L,23327,NEDD4 like E3 ubiquitin protein ligase,ENSG00000049759
AGTR2,186,angiotensin II receptor type 2,ENSG00000180772
SOX4,6659,SRY-box transcription factor 4,ENSG00000124766
ERAP1,51752,endoplasmic reticulum aminopeptidase 1,ENSG00000164307
FOLH1,2346,folate hydrolase 1,ENSG00000086205
REST,5978,RE1 silencing transcription factor,ENSG00000084093
ENO2,2026,enolase 2,ENSG00000111674
CP,1356,ceruloplasmin,ENSG00000047457
ARG1,383,arginase 1,ENSG00000118520
PRF1,5551,perforin 1,ENSG00000180644
HSP90AB1,3326,heat shock protein 90 alpha family class B member 1,ENSG00000096384
KCNMA1,3778,potassium calcium-activated channel subfamily M alpha 1,ENSG00000156113
KAT5,10524,lysine acetyltransferase 5,ENSG00000172977
TNFSF12,8742,TNF superfamily member 12,ENSG00000239697
PKD2,5311,"polycystin 2, transient receptor potential cation channel",ENSG00000118762
IRF4,3662,interferon regulatory factor 4,ENSG00000137265
PAX3,5077,paired box 3,ENSG00000135903
FLT4,2324,fms related receptor tyrosine kinase 4,ENSG00000037280
IL1R1,3554,interleukin 1 receptor type 1,ENSG00000115594
PROCR,10544,protein C receptor,ENSG00000101000
NFKB2,4791,nuclear factor kappa B subunit 2,ENSG00000077150
CD9,928,CD9 molecule,ENSG00000010278
TUBB3,10381,tubulin beta 3 class III,ENSG00000258947
EIF4EBP1,1978,eukaryotic translation initiation factor 4E binding protein 1,ENSG00000187840
FGF1,2246,fibroblast growth factor 1,ENSG00000113578
GRIN1,2902,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884
MAP3K5,4217,mitogen-activated protein kinase kinase kinase 5,ENSG00000197442
SORL1,6653,sortilin related receptor 1,ENSG00000137642
SPI1,6688,Spi-1 proto-oncogene,ENSG00000066336
SFRP1,6422,secreted frizzled related protein 1,ENSG00000104332
PSIP1,11168,PC4 and SRSF1 interacting protein 1,ENSG00000164985
NPC1,4864,NPC intracellular cholesterol transporter 1,ENSG00000141458
TRPC6,7225,transient receptor potential cation channel subfamily C member 6,ENSG00000137672
CGAS,115004,cyclic GMP-AMP synthase,ENSG00000164430
EIF4G1,1981,eukaryotic translation initiation factor 4 gamma 1,ENSG00000114867
TOR1A,1861,torsin family 1 member A,ENSG00000136827
PDE4D,5144,phosphodiesterase 4D,ENSG00000113448
CTSL,1514,cathepsin L,ENSG00000135047
ATXN3,4287,ataxin 3,ENSG00000066427
OGT,8473,O-linked N-acetylglucosamine (GlcNAc) transferase,ENSG00000147162
ACTA2,59,"actin alpha 2, smooth muscle",ENSG00000107796
CCL3,6348,C-C motif chemokine ligand 3,ENSG00000277632
DBH,1621,dopamine beta-hydroxylase,ENSG00000123454
SLC16A1,6566,solute carrier family 16 member 1,ENSG00000155380
ATG16L1,55054,autophagy related 16 like 1,ENSG00000085978
MDK,4192,midkine,ENSG00000110492
ALOX15,246,arachidonate 15-lipoxygenase,ENSG00000161905
COL4A1,1282,collagen type IV alpha 1 chain,ENSG00000187498
CHRNA5,1138,cholinergic receptor nicotinic alpha 5 subunit,ENSG00000169684
OPTN,10133,optineurin,ENSG00000123240
POR,5447,cytochrome p450 oxidoreductase,ENSG00000127948
DUSP1,1843,dual specificity phosphatase 1,ENSG00000120129
ENPP2,5168,ectonucleotide pyrophosphatase/phosphodiesterase 2,ENSG00000136960
MED12,9968,mediator complex subunit 12,ENSG00000184634
DSP,1832,desmoplakin,ENSG00000096696
KRT5,3852,keratin 5,ENSG00000186081
TLR5,7100,toll like receptor 5,ENSG00000187554
TACR1,6869,tachykinin receptor 1,ENSG00000115353
TAP1,6890,"transporter 1, ATP binding cassette subfamily B member",ENSG00000168394
ADRA2A,150,adrenoceptor alpha 2A,ENSG00000150594
CRH,1392,corticotropin releasing hormone,ENSG00000147571
PDIA3,2923,protein disulfide isomerase family A member 3,ENSG00000167004
COL18A1,80781,collagen type XVIII alpha 1 chain,ENSG00000182871
TERF2,7014,telomeric repeat binding factor 2,ENSG00000132604
IRF6,3664,interferon regulatory factor 6,ENSG00000117595
TYR,7299,tyrosinase,ENSG00000077498
PRDX2,7001,peroxiredoxin 2,ENSG00000167815
SMN2,6607,"survival of motor neuron 2, centromeric",ENSG00000205571
CIITA,4261,class II major histocompatibility complex transactivator,ENSG00000179583
TGFA,7039,transforming growth factor alpha,ENSG00000163235
XPA,7507,"XPA, DNA damage recognition and repair factor",ENSG00000136936
WNT1,7471,Wnt family member 1,ENSG00000125084
NFATC1,4772,nuclear factor of activated T cells 1,ENSG00000131196
LGR5,8549,leucine rich repeat containing G protein-coupled receptor 5,ENSG00000139292
EIF2S1,1965,eukaryotic translation initiation factor 2 subunit alpha,ENSG00000134001
MAD2L1,4085,mitotic arrest deficient 2 like 1,ENSG00000164109
HPRT1,3251,hypoxanthine phosphoribosyltransferase 1,ENSG00000165704
LIF,3976,LIF interleukin 6 family cytokine,ENSG00000128342
FEN1,2237,flap structure-specific endonuclease 1,ENSG00000168496
ESM1,11082,endothelial cell specific molecule 1,ENSG00000164283
ARRB1,408,arrestin beta 1,ENSG00000137486
ULK1,8408,unc-51 like autophagy activating kinase 1,ENSG00000177169
TFAP2A,7020,transcription factor AP-2 alpha,ENSG00000137203
CCNT1,904,cyclin T1,ENSG00000129315
TGFB3,7043,transforming growth factor beta 3,ENSG00000119699
RAB5A,5868,"RAB5A, member RAS oncogene family",ENSG00000144566
FOXP1,27086,forkhead box P1,ENSG00000114861
KIF11,3832,kinesin family member 11,ENSG00000138160
CSF3,1440,colony stimulating factor 3,ENSG00000108342
MX1,4599,MX dynamin like GTPase 1,ENSG00000157601
CYP27B1,1594,cytochrome P450 family 27 subfamily B member 1,ENSG00000111012
SATB1,6304,SATB homeobox 1,ENSG00000182568
PLA2G4A,5321,phospholipase A2 group IVA,ENSG00000116711
PLP1,5354,proteolipid protein 1,ENSG00000123560
FCGR2B,2213,Fc gamma receptor IIb,ENSG00000072694
LAMP2,3920,lysosomal associated membrane protein 2,ENSG00000005893
BARD1,580,BRCA1 associated RING domain 1,ENSG00000138376
CD247,919,CD247 molecule,ENSG00000198821
GRK2,156,G protein-coupled receptor kinase 2,ENSG00000173020
ARF6,382,ARF GTPase 6,ENSG00000165527
TPH1,7166,tryptophan hydroxylase 1,ENSG00000129167
CTSK,1513,cathepsin K,ENSG00000143387
NAT1,9,N-acetyltransferase 1,ENSG00000171428
SERPINA3,12,serpin family A member 3,ENSG00000196136
ACTN4,81,actinin alpha 4,ENSG00000130402
DHX9,1660,DExH-box helicase 9,ENSG00000135829
CD82,3732,CD82 molecule,ENSG00000085117
SNAP25,6616,synaptosome associated protein 25,ENSG00000132639
AREG,374,amphiregulin,ENSG00000109321
S1PR1,1901,sphingosine-1-phosphate receptor 1,ENSG00000170989
MTNR1B,4544,melatonin receptor 1B,ENSG00000134640
SCD,6319,stearoyl-CoA desaturase,ENSG00000099194
GAS6,2621,growth arrest specific 6,ENSG00000183087
PABPC1,26986,poly(A) binding protein cytoplasmic 1,ENSG00000070756
CUL4A,8451,cullin 4A,ENSG00000139842
BDKRB2,624,bradykinin receptor B2,ENSG00000168398
PFN1,5216,profilin 1,ENSG00000108518
TRAF3,7187,TNF receptor associated factor 3,ENSG00000131323
ABCC4,10257,ATP binding cassette subfamily C member 4 (PEL blood group),ENSG00000125257
IGF2BP1,10642,insulin like growth factor 2 mRNA binding protein 1,ENSG00000159217
SLC11A1,6556,solute carrier family 11 member 1,ENSG00000018280
PADI4,23569,peptidyl arginine deiminase 4,ENSG00000159339
BAD,572,BCL2 associated agonist of cell death,ENSG00000002330
TPO,7173,thyroid peroxidase,ENSG00000115705
IGF2R,3482,insulin like growth factor 2 receptor,ENSG00000197081
ASXL1,171023,ASXL transcriptional regulator 1,ENSG00000171456
DYRK1A,1859,dual specificity tyrosine phosphorylation regulated kinase 1A,ENSG00000157540
JAK3,3718,Janus kinase 3,ENSG00000105639
AQP3,360,aquaporin 3 (Gill blood group),ENSG00000165272
CYP2C8,1558,cytochrome P450 family 2 subfamily C member 8,ENSG00000138115
DDX5,1655,DEAD-box helicase 5,ENSG00000108654
RAD50,10111,RAD50 double strand break repair protein,ENSG00000113522
TSG101,7251,tumor susceptibility 101,ENSG00000074319
IL5,3567,interleukin 5,ENSG00000113525
TAC1,6863,tachykinin precursor 1,ENSG00000006128
DDR1,780,discoidin domain receptor tyrosine kinase 1,ENSG00000204580
DIABLO,56616,diablo IAP-binding mitochondrial protein,ENSG00000184047
TFE3,7030,transcription factor binding to IGHM enhancer 3,ENSG00000068323
SLC30A8,169026,solute carrier family 30 member 8,ENSG00000164756
NOD1,10392,nucleotide binding oligomerization domain containing 1,ENSG00000106100
HSD11B2,3291,hydroxysteroid 11-beta dehydrogenase 2,ENSG00000176387
VCAN,1462,versican,ENSG00000038427
TRPM8,79054,transient receptor potential cation channel subfamily M member 8,ENSG00000144481
ERCC6,2074,"ERCC excision repair 6, chromatin remodeling factor",ENSG00000225830
XRCC4,7518,X-ray repair cross complementing 4,ENSG00000152422
TPM1,7168,tropomyosin 1,ENSG00000140416
SMPD1,6609,sphingomyelin phosphodiesterase 1,ENSG00000166311
HBEGF,1839,heparin binding EGF like growth factor,ENSG00000113070
NCOR1,9611,nuclear receptor corepressor 1,ENSG00000141027
SFTPA1,653509,surfactant protein A1,ENSG00000122852
GP6,51206,glycoprotein VI platelet,ENSG00000088053
VTN,7448,vitronectin,ENSG00000109072
SFN,2810,stratifin,ENSG00000175793
IRS2,8660,insulin receptor substrate 2,ENSG00000185950
CADM1,23705,cell adhesion molecule 1,ENSG00000182985
NCOA1,8648,nuclear receptor coactivator 1,ENSG00000084676
DNM2,1785,dynamin 2,ENSG00000079805
GRIN2A,2903,glutamate ionotropic receptor NMDA type subunit 2A,ENSG00000183454
AKR1B1,231,aldo-keto reductase family 1 member B,ENSG00000085662
SLC7A11,23657,solute carrier family 7 member 11,ENSG00000151012
APOBEC3B,9582,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,ENSG00000179750
SLC2A4,6517,solute carrier family 2 member 4,ENSG00000181856
LRP6,4040,LDL receptor related protein 6,ENSG00000070018
ROS1,6098,"ROS proto-oncogene 1, receptor tyrosine kinase",ENSG00000047936
DTNBP1,84062,dystrobrevin binding protein 1,ENSG00000047579
LCT,3938,lactase,ENSG00000115850
CLTC,1213,clathrin heavy chain,ENSG00000141367
MECOM,2122,MDS1 and EVI1 complex locus,ENSG00000085276
GAA,2548,alpha glucosidase,ENSG00000171298
ROCK2,9475,Rho associated coiled-coil containing protein kinase 2,ENSG00000134318
COMP,1311,cartilage oligomeric matrix protein,ENSG00000105664
SELL,6402,selectin L,ENSG00000188404
ARMS2,387715,age-related maculopathy susceptibility 2,ENSG00000254636
PITX2,5308,paired like homeodomain 2,ENSG00000164093
CRYAA,1409,crystallin alpha A,ENSG00000160202
KLF6,1316,KLF transcription factor 6,ENSG00000067082
HOXA10,3206,homeobox A10,ENSG00000253293
TCF3,6929,transcription factor 3,ENSG00000071564
SULT1A1,6817,sulfotransferase family 1A member 1,ENSG00000196502
EHMT2,10919,euchromatic histone lysine methyltransferase 2,ENSG00000204371
SLC5A5,6528,solute carrier family 5 member 5,ENSG00000105641
GPX4,2879,glutathione peroxidase 4,ENSG00000167468
SCN4A,6329,sodium voltage-gated channel alpha subunit 4,ENSG00000007314
ARNT,405,aryl hydrocarbon receptor nuclear translocator,ENSG00000143437
SRY,6736,sex determining region Y,ENSG00000184895
PAX5,5079,paired box 5,ENSG00000196092
TBX21,30009,T-box transcription factor 21,ENSG00000073861
TNFSF13,8741,TNF superfamily member 13,ENSG00000161955
EIF2AK3,9451,eukaryotic translation initiation factor 2 alpha kinase 3,ENSG00000172071
PSEN2,5664,presenilin 2,ENSG00000143801
UBE2L3,7332,ubiquitin conjugating enzyme E2 L3,ENSG00000185651
SLC40A1,30061,solute carrier family 40 member 1,ENSG00000138449
YWHAB,7529,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,ENSG00000166913
TLR8,51311,toll like receptor 8,ENSG00000101916
MUC4,4585,"mucin 4, cell surface associated",ENSG00000145113
BIRC3,330,baculoviral IAP repeat containing 3,ENSG00000023445
SALL4,57167,spalt like transcription factor 4,ENSG00000101115
PPP1CA,5499,protein phosphatase 1 catalytic subunit alpha,ENSG00000172531
SOS1,6654,SOS Ras/Rac guanine nucleotide exchange factor 1,ENSG00000115904
ATF2,1386,activating transcription factor 2,ENSG00000115966
PDPK1,5170,3-phosphoinositide dependent protein kinase 1,ENSG00000140992
CD86,942,CD86 molecule,ENSG00000114013
HLA-DRA,3122,"major histocompatibility complex, class II, DR alpha",ENSG00000204287
OCLN,100506658,occludin,ENSG00000197822
ATXN2,6311,ataxin 2,ENSG00000204842
NHERF1,9368,NHERF family PDZ scaffold protein 1,ENSG00000109062
NTN1,9423,netrin 1,ENSG00000065320
SLC3A2,6520,solute carrier family 3 member 2,ENSG00000168003
IL9,3578,interleukin 9,ENSG00000145839
SOD3,6649,superoxide dismutase 3,ENSG00000109610
IL16,3603,interleukin 16,ENSG00000172349
FTL,2512,ferritin light chain,ENSG00000087086
RASA1,5921,RAS p21 protein activator 1,ENSG00000145715
PRSS1,5644,serine protease 1,ENSG00000204983
RNF213,57674,ring finger protein 213,ENSG00000173821
